;country;Gender;Age;Marital status;Stratum Urban;HM25_1;Natur of work;Level of Wealth;Fathers level education;Parent_affiliated_with Social Security;Participation in elections;Freedom to speach out about government;Resort to nepotism;Trust in Parliment;Trust in employers;Trust in associations;Trust in political_parties;Political system;Formality
19;EG;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Oui;Not at al;No;Non;No;yes;Oui;Oui;formal
22;EG;Male;25+;Never Mar;Rural;Higher;non manua;Yes;Higher;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
23;DZ;Male;20 - 24;Never Mar;Urban;Higher;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
24;DZ;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;No;Non;No;yes;Non;Non;formal
25;LB;Female;25+;Ever Marr;Urban;Higher;non manua;No;Higher;Yes;Non;Not at al;No;Non;yes;No;Non;Non;formal
26;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Primary;Yes;Oui;Not at al;Yes;Non;yes;yes;Non;Non;formal
27;LB;Male;20 - 24;Never Mar;Rural;Higher;non manua;Yes;No educati;Yes;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
29;TN;Female;25+;Ever Marr;Urban;Middle;non manua;No;No educati;No;Non;Not at al;No;Non;yes;No;Non;Non;formal
30;EG;Male;<= 19;Never Mar;Urban;Primary;manual t;No;Primary;Yes;Non;Not at al;No;Non;yes;No;Non;Non;formal
31;TN;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Oui;Not at al;Yes;Non;No;yes;Oui;Oui;formal
32;DZ;Male;25+;Never Mar;Rural;Higher;manual t;No;Primary;No;Oui;Not at al;No;Non;No;yes;Oui;Oui;formal
33;EG;Male;25+;Ever Marr;Rural;Secondary;manual t;No;Secondary;Yes;Oui;Not at al;No;Non;No;No;Non;Non;formal
34;LB;Male;25+;Ever Marr;Urban;Higher;non manua;Yes;Middle;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
35;LB;Female;25+;Ever Marr;Urban;Higher;non manua;No;Middle;Yes;Non;Not at al;Yes;Non;No;yes;Non;Non;formal
36;TN;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;No educati;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
37;TN;Male;25+;Never Mar;Urban;Secondary;non manua;No;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
38;DZ;Female;20 - 24;Never Mar;Rural;Secondary;manual t;Yes;Higher;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
39;EG;Male;25+;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;No;yes;Oui;Oui;formal
40;LB;Male;25+;Never Mar;Urban;Secondary;non manua;Yes;Middle;Yes;Non;Not at al;Yes;Non;yes;No;Non;Non;formal
42;LB;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
43;LB;Male;<= 19;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;formal
44;EG;Male;25+;Never Mar;Rural;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
45;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;formal
46;DZ;Male;20 - 24;Never Mar;Rural;Middle;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;No;Non;Non;formal
47;LB;Male;25+;Ever Marr;Urban;Secondary;non manua;Yes;Primary;No;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
48;TN;Male;25+;Ever Marr;Urban;Higher;non manua;No;Higher;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
49;EG;Male;25+;Ever Marr;Urban;Higher;non manua;No;Middle;Yes;Oui;Not at al;No;Non;No;yes;Non;Non;formal
50;TN;Male;25+;Never Mar;Urban;Secondary;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;No;No;Non;Non;formal
51;DZ;Male;20 - 24;Never Mar;Urban;Secondary;non manua;Yes;Middle;Yes;Non;Completel;No;Non;No;No;Non;Non;formal
52;EG;Male;25+;Ever Marr;Rural;Higher;non manua;No;Higher;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
53;DZ;Male;20 - 24;Never Mar;Rural;Middle;non manua;No;No educati;No;Non;Not at al;Yes;Non;No;No;Non;Non;formal
54;DZ;Male;25+;Never Mar;Rural;Middle;non manua;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
55;LB;Female;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;formal
56;TN;Female;20 - 24;Never Mar;Rural;Secondary;non manua;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
57;EG;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;No;yes;Oui;Oui;formal
58;LB;Male;25+;Ever Marr;Rural;Secondary;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
59;EG;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
62;DZ;Female;20 - 24;Never Mar;Urban;Secondary;manual t;No;Middle;No;Oui;Completel;No;Non;yes;yes;Oui;Oui;formal
63;TN;Male;25+;Never Mar;Urban;Secondary;non manua;No;Primary;No;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
64;EG;Male;25+;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
65;LB;Female;20 - 24;Ever Marr;Urban;Higher;non manua;Yes;Primary;No;Non;Not at al;No;Non;yes;yes;Non;Oui;formal
66;DZ;Male;20 - 24;Never Mar;Rural;Middle;non manua;No;Primary;No;Non;Not at al;No;Non;yes;yes;Non;Non;formal
67;TN;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Primary;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;formal
68;DZ;Female;25+;Never Mar;Urban;Higher;manual t;No;Secondary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
69;LB;Male;25+;Never Mar;Urban;Primary;non manua;Yes;Primary;Yes;Non;Not at al;No;Non;No;No;Non;Non;formal
70;TN;Female;20 - 24;Ever Marr;Urban;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;formal
71;EG;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;Higher;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
72;LB;Female;25+;Ever Marr;Urban;Middle;non manua;Yes;Middle;No;Non;Not at al;Yes;Non;No;No;Non;Non;formal
73;TN;Male;20 - 24;Never Mar;Rural;Middle;manual t;No;Secondary;Yes;Oui;Not at al;Yes;Non;No;yes;Oui;Oui;formal
74;DZ;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;Secondary;Yes;Non;Not at al;Yes;Non;yes;No;Non;Non;formal
75;LB;Female;25+;Ever Marr;Urban;Higher;non manua;No;Middle;Yes;Non;Not at al;No;Non;yes;No;Non;Non;formal
76;TN;Female;25+;Never Mar;Urban;Primary;manual t;No;Primary;No;Non;Not at al;No;Non;No;yes;Oui;Oui;formal
77;EG;Male;25+;Ever Marr;Rural;Secondary;non manua;No;Middle;Yes;Non;Not at al;No;Non;yes;No;Non;Non;formal
78;EG;Female;25+;Ever Marr;Urban;Higher;non manua;No;Higher;Yes;Oui;Not at al;No;Non;No;yes;Non;Oui;formal
79;DZ;Male;20 - 24;Never Mar;Urban;Middle;manual t;Yes;Secondary;Yes;Oui;Not at al;Yes;Non;No;yes;Oui;Oui;formal
80;DZ;Male;<= 19;Never Mar;Urban;Middle;manual t;No;Secondary;Yes;Non;Completel;No;Non;No;No;Non;Non;formal
82;TN;Male;25+;Never Mar;Rural;Middle;non manua;No;Primary;No;Non;Not at al;Yes;Non;No;No;Non;Non;formal
83;LB;Female;25+;Ever Marr;Rural;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Non;formal
84;EG;Male;25+;Ever Marr;Rural;Secondary;non manua;No;Primary;Yes;Oui;Not at al;No;Non;No;yes;Oui;Oui;formal
85;DZ;Male;25+;Never Mar;Urban;Higher;manual t;Yes;Primary;Yes;Oui;Not at al;Yes;Non;No;No;Oui;Oui;formal
86;DZ;Female;25+;Never Mar;Urban;Secondary;non manua;Yes;No educati;Yes;Oui;Not at al;Yes;Non;No;yes;Non;Non;formal
87;LB;Male;25+;Never Mar;Urban;Middle;manual t;No;Middle;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;formal
88;LB;Female;25+;Never Mar;Urban;Secondary;manual t;No;Middle;No;Non;Not at al;No;Non;No;No;Non;Non;formal
89;DZ;Female;20 - 24;Never Mar;Urban;Secondary;non manua;No;Primary;Yes;Oui;Completel;No;Non;yes;yes;Oui;Oui;formal
90;LB;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;No;Non;yes;No;Non;Non;formal
92;DZ;Female;25+;Ever Marr;Urban;Secondary;non manua;No;No educati;No;Oui;Completel;Yes;Non;yes;yes;Oui;Oui;formal
93;DZ;Male;25+;Ever Marr;Urban;Secondary;non manua;Yes;No educati;Yes;Oui;Completel;No;Non;yes;yes;Oui;Oui;formal
94;DZ;Female;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Non;Not at al;No;Non;No;No;Non;Non;formal
96;DZ;Female;20 - 24;Never Mar;Rural;Middle;non manua;No;Secondary;Yes;Non;Completel;Yes;Non;No;yes;Non;Non;formal
97;EG;Male;25+;Never Mar;Urban;Higher;non manua;No;Higher;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;formal
98;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Higher;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
99;EG;Female;25+;Ever Marr;Urban;Middle;non manua;No;No educati;No;Oui;Not at al;No;Non;No;yes;Oui;Oui;formal
100;LB;Male;<= 19;Never Mar;Urban;Secondary;manual t;Yes;Middle;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
101;TN;Male;25+;Never Mar;Urban;Higher;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;yes;Non;Non;formal
102;EG;Male;25+;Ever Marr;Rural;Secondary;manual t;No;Secondary;Yes;Oui;Not at al;No;Non;No;No;Oui;Oui;formal
103;TN;Female;25+;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;No;Oui;Non;formal
105;LB;Male;25+;Ever Marr;Rural;Middle;non manua;No;Middle;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;formal
106;LB;Female;25+;Ever Marr;Urban;Secondary;manual t;No;Primary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
107;DZ;Male;20 - 24;Never Mar;Urban;Middle;manual t;No;Primary;Yes;Non;Not at al;No;Non;yes;No;Oui;Oui;formal
109;TN;Male;25+;Never Mar;Urban;Higher;non manua;No;Primary;Yes;Oui;Not at al;No;Non;No;yes;Non;Non;formal
110;LB;Male;20 - 24;Ever Marr;Urban;Higher;non manua;Yes;Middle;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
111;LB;Female;25+;Ever Marr;Rural;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
112;LB;Female;25+;Never Mar;Urban;Higher;non manua;No;Middle;Yes;Oui;Not at al;Yes;Non;yes;yes;Non;Non;formal
113;LB;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;Higher;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;formal
114;LB;Female;25+;Never Mar;Urban;Secondary;non manua;No;Middle;No;Non;Not at al;Yes;Non;No;yes;Non;Non;formal
115;EG;Male;25+;Ever Marr;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;No;yes;Oui;Oui;formal
116;DZ;Female;25+;Never Mar;Urban;Secondary;non manua;Yes;Middle;Yes;Oui;Not at al;Yes;Non;yes;No;Non;Non;formal
117;LB;Male;25+;Never Mar;Urban;Secondary;non manua;No;Secondary;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;formal
119;DZ;Male;25+;Never Mar;Urban;Secondary;non manua;No;No educati;Yes;Non;Not at al;Yes;Non;No;yes;Oui;Oui;formal
120;TN;Male;20 - 24;Never Mar;Urban;Middle;non manua;No;Secondary;Yes;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
121;DZ;Male;25+;Never Mar;Rural;Higher;manual t;No;Middle;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
122;EG;Male;25+;Ever Marr;Rural;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
123;EG;Male;20 - 24;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
125;LB;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Primary;No;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
126;LB;Male;25+;Ever Marr;Urban;Higher;non manua;Yes;Middle;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
127;LB;Male;25+;Ever Marr;Urban;Higher;non manua;No;Middle;Yes;Oui;Not at al;Yes;Non;No;yes;Oui;Non;formal
128;LB;Male;25+;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
129;TN;Female;20 - 24;Ever Marr;Rural;Secondary;non manua;No;Primary;No;Oui;Not at al;No;Non;No;yes;Non;Non;formal
130;DZ;Female;25+;Ever Marr;Rural;Higher;non manua;No;No educati;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
131;LB;Female;25+;Never Mar;Urban;Higher;non manua;No;Middle;Yes;Non;Not at al;Yes;Non;No;yes;Non;Non;formal
132;LB;Male;<= 19;Never Mar;Urban;Primary;non manua;No;Primary;No;Non;Not at al;No;Non;yes;yes;Non;Non;formal
133;DZ;Male;25+;Never Mar;Urban;Middle;non manua;No;No educati;Yes;Oui;Not at al;No;Non;No;yes;Oui;Oui;formal
134;EG;Female;<= 19;Never Mar;Rural;Primary;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;No;Oui;Oui;formal
135;TN;Female;25+;Never Mar;Urban;Secondary;non manua;No;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Non;Non;formal
136;EG;Female;20 - 24;Ever Marr;Rural;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;formal
137;DZ;Male;25+;Never Mar;Urban;Higher;non manua;Yes;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
138;DZ;Female;25+;Never Mar;Urban;Secondary;non manua;No;No educati;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;formal
139;LB;Female;25+;Never Mar;Urban;Higher;non manua;No;Middle;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
141;LB;Female;<= 19;Never Mar;Urban;Secondary;non manua;Yes;Middle;Yes;Non;Not at al;No;Non;No;yes;Oui;Oui;formal
142;EG;Female;20 - 24;Never Mar;Rural;Higher;non manua;Yes;Higher;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
143;TN;Male;<= 19;Never Mar;Urban;Secondary;manual t;No;Primary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
144;LB;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;Middle;No;Oui;Not at al;No;Non;yes;yes;Oui;Non;formal
145;LB;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
146;DZ;Male;25+;Never Mar;Rural;Middle;non manua;No;Primary;Yes;Oui;Not at al;No;Non;No;No;Non;Non;formal
147;LB;Male;25+;Ever Marr;Urban;Higher;non manua;No;Middle;Yes;Non;Not at al;No;Non;yes;yes;Oui;Non;formal
148;TN;Male;25+;Ever Marr;Urban;Middle;non manua;No;No educati;Yes;Oui;Not at al;Yes;Non;No;No;Non;Non;formal
149;DZ;Male;20 - 24;Never Mar;Urban;Middle;non manua;No;Primary;Yes;Oui;Completel;Yes;Non;No;No;Non;Non;formal
150;EG;Male;20 - 24;Ever Marr;Rural;Secondary;manual t;No;Secondary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
153;DZ;Male;25+;Never Mar;Urban;Primary;non manua;Yes;No educati;Yes;Non;Completel;Yes;Non;No;No;Oui;Oui;formal
154;TN;Male;25+;Never Mar;Urban;Middle;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
155;DZ;Male;25+;Never Mar;Urban;Secondary;non manua;Yes;Middle;Yes;Non;Completel;Yes;Non;yes;yes;Oui;Oui;formal
156;LB;Male;25+;Never Mar;Rural;No educati;non manua;Yes;Secondary;No;Non;Not at al;Yes;Non;No;yes;Non;Non;formal
157;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
158;TN;Male;25+;Never Mar;Urban;Secondary;non manua;No;Middle;Yes;Oui;Not at al;No;Non;No;No;Non;Non;formal
159;DZ;Male;20 - 24;Never Mar;Rural;Middle;non manua;No;No educati;No;Oui;Completel;No;Non;yes;yes;Oui;Oui;formal
160;LB;Female;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
161;EG;Male;20 - 24;Never Mar;Rural;Secondary;manual t;No;Middle;No;Oui;Not at al;No;Non;No;yes;Oui;Oui;formal
162;EG;Male;25+;Never Mar;Rural;Higher;non manua;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
163;EG;Male;25+;Never Mar;Urban;Higher;non manua;No;No educati;Yes;Oui;Not at al;No;Non;No;yes;Non;Non;formal
164;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;Yes;Non;No;yes;Oui;Non;formal
165;LB;Male;25+;Never Mar;Urban;Secondary;non manua;No;Primary;No;Non;Not at al;Yes;Non;yes;No;Non;Non;formal
166;DZ;Female;25+;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;Yes;Non;No;yes;Oui;Non;formal
167;DZ;Female;25+;Never Mar;Rural;Secondary;non manua;No;Primary;No;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
168;DZ;Female;20 - 24;Never Mar;Rural;Higher;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
169;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
171;TN;Female;20 - 24;Never Mar;Urban;Middle;non manua;No;Primary;No;Non;Not at al;Yes;Non;No;No;Non;Non;formal
172;EG;Female;25+;Ever Marr;Rural;Higher;non manua;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
173;DZ;Female;25+;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;Yes;Non;yes;yes;Non;Non;formal
174;LB;Female;25+;Ever Marr;Urban;Higher;non manua;No;Middle;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;formal
175;EG;Male;20 - 24;Never Mar;Rural;Primary;non manua;No;No educati;No;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
176;LB;Male;25+;Never Mar;Urban;Secondary;non manua;No;Secondary;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;formal
177;LB;Female;25+;Ever Marr;Urban;Higher;non manua;No;Middle;No;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
178;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
179;DZ;Male;20 - 24;Never Mar;Rural;Middle;non manua;No;No educati;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
180;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Oui;Not at al;Yes;Non;No;No;Non;Non;formal
182;LB;Male;25+;Ever Marr;Rural;Middle;manual t;No;Primary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
183;LB;Male;25+;Never Mar;Rural;Secondary;non manua;Yes;Primary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Non;formal
186;LB;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;Middle;No;Non;Not at al;No;Non;No;yes;Oui;Oui;formal
187;EG;Male;25+;Ever Marr;Rural;Secondary;non manua;No;Secondary;Yes;Oui;Not at al;Yes;Non;yes;yes;Non;Oui;formal
188;LB;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
189;EG;Male;25+;Ever Marr;Rural;Secondary;manual t;No;Middle;No;Oui;Not at al;No;Non;yes;yes;Oui;Non;formal
190;LB;Male;25+;Ever Marr;Urban;Higher;manual t;No;Middle;Yes;Oui;Not at al;No;Non;No;yes;Oui;Non;formal
191;DZ;Male;20 - 24;Never Mar;Urban;Secondary;non manua;Yes;Secondary;Yes;Oui;Completel;No;Non;No;No;Non;Non;formal
192;TN;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Oui;Not at al;No;Non;yes;No;Oui;Non;formal
194;EG;Male;25+;Ever Marr;Rural;Secondary;non manua;No;No educati;Yes;Oui;Completel;No;Non;yes;yes;Non;Non;formal
195;EG;Female;25+;Ever Marr;Rural;Secondary;non manua;No;Secondary;No;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
196;EG;Male;25+;Never Mar;Rural;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;No;No;Oui;Oui;formal
197;TN;Male;25+;Ever Marr;Urban;Secondary;non manua;No;Primary;Yes;Non;Not at al;No;Non;No;yes;Oui;Non;formal
198;LB;Female;<= 19;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
199;LB;Male;25+;Ever Marr;Rural;Middle;non manua;No;Primary;No;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
201;EG;Female;25+;Ever Marr;Urban;Higher;non manua;No;Higher;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
202;DZ;Female;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Oui;Completel;Yes;Non;No;yes;Non;Non;formal
203;EG;Male;25+;Ever Marr;Rural;Higher;non manua;No;Higher;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
204;LB;Female;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Non;Not at al;No;Non;No;yes;Oui;Non;formal
205;LB;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;Higher;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
206;DZ;Female;25+;Ever Marr;Urban;Secondary;non manua;No;No educati;No;Oui;Completel;Yes;Non;yes;yes;Oui;Oui;formal
207;EG;Female;20 - 24;Ever Marr;Urban;Higher;non manua;No;No educati;Yes;Oui;Not at al;No;Non;No;yes;Oui;Oui;formal
208;LB;Male;20 - 24;Never Mar;Rural;Middle;manual t;No;Middle;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
209;LB;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;formal
210;DZ;Female;25+;Never Mar;Rural;Higher;non manua;No;No educati;Yes;Non;Completel;Yes;Non;No;yes;Non;Non;formal
211;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Secondary;No;Non;Not at al;Yes;Non;No;No;Non;Non;formal
212;LB;Male;25+;Ever Marr;Urban;Secondary;non manua;No;Middle;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
213;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Non;formal
214;DZ;Male;25+;Never Mar;Rural;Middle;non manua;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
215;LB;Male;25+;Ever Marr;Rural;Middle;non manua;Yes;Middle;Yes;Oui;Not at al;Yes;Non;No;yes;Oui;Oui;formal
216;LB;Male;25+;Never Mar;Urban;Secondary;non manua;No;Primary;No;Non;Not at al;Yes;Non;No;No;Non;Non;formal
217;LB;Male;<= 19;Never Mar;Urban;Middle;non manua;Yes;Primary;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
