;country;Gender;Age;Marital status;Stratum Urban;HM25_1;Natur of work;Level of Wealth;Fathers level education;Parent_affiliated_with Social Security;Participation in elections;Freedom to speach out about government;Resort to nepotism;Trust in Parliment;Trust in employers;Trust in associations;Trust in political_parties;Political system;Formality
1229;LB;Male;25+;Ever Marr;Urban;No educati;non manua;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;informal
1025;TN;Female;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1125;EG;Male;25+;Ever Marr;Rural;Secondary;manual t;No;Primary;No;Non;Not at al;No;Non;No;No;Non;Non;informal
23;DZ;Male;20 - 24;Never Mar;Urban;Higher;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
1405;DZ;Male;20 - 24;Never Mar;Rural;Middle;manual t;No;Secondary;No;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
858;LB;Male;20 - 24;Never Mar;Urban;Middle;non manua;Yes;Primary;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;formal
2613;LB;Male;25+;Never Mar;Rural;Secondary;non manua;Yes;Middle;No;Oui;Not at al;Yes;Non;No;yes;Non;Non;informal
2261;LB;Male;<= 19;Never Mar;Rural;Middle;non manua;Yes;Primary;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1531;LB;Male;25+;Never Mar;Rural;Secondary;manual t;Yes;No educati;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
2220;DZ;Female;20 - 24;Never Mar;Urban;Higher;manual t;No;Secondary;Yes;Non;Completel;Yes;Non;yes;No;Non;Non;informal
2792;EG;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1728;EG;Male;20 - 24;Never Mar;Urban;Higher;non manua;No;Higher;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
247;LB;Female;20 - 24;Ever Marr;Urban;Higher;non manua;No;Higher;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
677;TN;Female;20 - 24;Ever Marr;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
2115;EG;Male;25+;Ever Marr;Rural;Secondary;non manua;No;No educati;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
341;DZ;Female;20 - 24;Never Mar;Urban;Secondary;manual t;No;Primary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
2014;LB;Female;25+;Never Mar;Urban;Secondary;non manua;No;Middle;No;Non;Not at al;No;Non;No;yes;Non;Non;informal
2588;DZ;Male;25+;Never Mar;Rural;Middle;manual t;No;Middle;No;Oui;Completel;No;Non;yes;yes;Oui;Oui;informal
1179;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Higher;No;Oui;Not at al;Yes;Non;yes;yes;Oui;Non;informal
1165;TN;Male;20 - 24;Never Mar;Urban;Higher;manual t;No;Primary;No;Oui;Not at al;No;Non;yes;yes;Non;Non;informal
1077;EG;Female;25+;Ever Marr;Rural;Secondary;manual t;No;No educati;Yes;Oui;Not at al;No;Non;yes;No;Non;Non;informal
2747;EG;Male;20 - 24;Never Mar;Urban;Secondary;manual t;No;No educati;Yes;Oui;Not at al;No;Non;No;yes;Oui;Oui;informal
696;EG;Male;20 - 24;Never Mar;Rural;Higher;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
1116;EG;Male;25+;Never Mar;Rural;Higher;manual t;No;No educati;Yes;Oui;Not at al;No;Non;No;yes;Oui;Oui;informal
1782;EG;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
919;DZ;Female;25+;Ever Marr;Urban;Higher;non manua;No;Middle;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
1187;LB;Male;25+;Never Mar;Urban;Higher;non manua;Yes;Primary;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1943;EG;Male;25+;Ever Marr;Rural;Secondary;manual t;No;Higher;Yes;Oui;Not at al;No;Non;yes;No;Non;Non;informal
2153;EG;Male;20 - 24;Never Mar;Urban;Secondary;manual t;No;Secondary;No;Non;Not at al;No;Non;No;yes;Oui;Oui;informal
217;LB;Male;<= 19;Never Mar;Urban;Middle;non manua;Yes;Primary;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
198;LB;Female;<= 19;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
1433;LB;Male;20 - 24;Never Mar;Rural;Higher;non manua;Yes;Middle;No;Non;Not at al;Yes;Non;yes;yes;Non;Oui;informal
2476;EG;Male;20 - 24;Never Mar;Rural;Higher;manual t;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
2241;EG;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;Middle;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
2224;EG;Male;25+;Ever Marr;Rural;Secondary;manual t;No;No educati;No;Oui;Not at al;No;Non;No;No;Oui;Oui;informal
882;DZ;Female;20 - 24;Never Mar;Urban;Higher;manual t;No;Primary;Yes;Non;Not at al;Yes;Non;yes;yes;Non;Non;formal
145;LB;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
384;EG;Male;25+;Ever Marr;Urban;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Non;Oui;formal
1945;EG;Male;25+;Ever Marr;Rural;Secondary;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Non;Oui;informal
1190;TN;Female;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
2845;EG;Male;20 - 24;Ever Marr;Rural;Secondary;manual t;No;Secondary;No;Oui;Not at al;No;Non;No;yes;Oui;Oui;informal
345;TN;Male;25+;Never Mar;Urban;Middle;non manua;No;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Non;Non;formal
432;DZ;Male;25+;Ever Marr;Urban;Primary;non manua;Yes;Primary;No;Oui;Completel;Yes;Non;No;No;Non;Non;formal
2614;EG;Female;<= 19;Never Mar;Rural;Secondary;manual t;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;informal
2751;LB;Male;25+;Never Mar;Rural;Secondary;non manua;Yes;Secondary;No;Non;Not at al;Yes;Non;yes;yes;Non;Oui;informal
2229;EG;Male;25+;Ever Marr;Rural;Middle;manual t;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;informal
202;DZ;Female;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Oui;Completel;Yes;Non;No;yes;Non;Non;formal
479;LB;Male;20 - 24;Never Mar;Urban;Secondary;non manua;Yes;Higher;Yes;Non;Not at al;No;Non;No;No;Non;Non;formal
2766;DZ;Male;25+;Never Mar;Rural;Middle;manual t;No;No educati;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
2023;TN;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Primary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
815;TN;Male;20 - 24;Never Mar;Rural;Middle;non manua;No;No educati;Yes;Non;Completel;No;Non;No;yes;Oui;Oui;formal
2685;EG;Male;20 - 24;Ever Marr;Rural;Secondary;manual t;No;No educati;No;Non;Not at al;No;Non;yes;No;Oui;Oui;informal
209;LB;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;formal
985;LB;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;Higher;No;Non;Not at al;Yes;Non;No;No;Non;Non;informal
2328;EG;Male;20 - 24;Never Mar;Rural;Primary;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1900;LB;Male;25+;Never Mar;Rural;Secondary;non manua;Yes;Primary;No;Non;Not at al;No;Non;yes;yes;Non;Non;informal
2867;TN;Male;<= 19;Never Mar;Urban;Middle;non manua;Yes;Primary;Yes;Non;Not at al;No;Non;No;No;Oui;Non;informal
1096;EG;Male;<= 19;Never Mar;Rural;Secondary;non manua;No;Middle;Yes;Non;Not at al;No;Non;No;yes;Oui;Oui;informal
2545;DZ;Male;20 - 24;Never Mar;Urban;Middle;manual t;Yes;No educati;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
674;EG;Male;20 - 24;Never Mar;Rural;Higher;non manua;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Non;Oui;formal
547;LB;Female;20 - 24;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;formal
781;DZ;Female;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Middle;Yes;Non;Not at al;Yes;Non;yes;No;Oui;Oui;formal
888;DZ;Male;20 - 24;Never Mar;Urban;Secondary;manual t;Yes;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
2684;TN;Male;20 - 24;Never Mar;Urban;Middle;manual t;No;Primary;Yes;Non;Not at al;No;Non;No;No;Non;Non;informal
2199;EG;Male;<= 19;Never Mar;Rural;Middle;manual t;No;Middle;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1910;EG;Male;25+;Ever Marr;Urban;Middle;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
2179;EG;Male;20 - 24;Ever Marr;Rural;Secondary;manual t;No;No educati;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
2516;DZ;Male;25+;Never Mar;Urban;Higher;non manua;No;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Non;Non;informal
134;EG;Female;<= 19;Never Mar;Rural;Primary;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;yes;No;Oui;Oui;formal
1792;TN;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;Secondary;Yes;Oui;Not at al;Yes;Non;No;yes;Non;Oui;informal
313;DZ;Female;20 - 24;Ever Marr;Urban;Middle;manual t;Yes;No educati;Yes;Oui;Not at al;Yes;Non;yes;yes;Non;Non;formal
2595;DZ;Female;20 - 24;Never Mar;Rural;Middle;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
712;DZ;Male;20 - 24;Never Mar;Urban;Secondary;non manua;Yes;Higher;Yes;Non;Completel;Yes;Non;yes;yes;Non;Non;formal
2133;DZ;Male;<= 19;Never Mar;Rural;Middle;manual t;No;Secondary;Yes;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
715;EG;Male;25+;Never Mar;Rural;Higher;non manua;No;Higher;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
2058;TN;Male;20 - 24;Never Mar;Urban;Secondary;manual t;No;Primary;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
411;DZ;Male;<= 19;Never Mar;Urban;Middle;non manua;Yes;Primary;Yes;Non;Completel;Yes;Non;No;No;Non;Non;formal
1534;DZ;Female;20 - 24;Ever Marr;Urban;Secondary;manual t;Yes;Middle;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
622;DZ;Male;25+;Never Mar;Urban;Secondary;non manua;Yes;Middle;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;formal
2098;EG;Male;20 - 24;Never Mar;Urban;Middle;manual t;No;No educati;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
881;DZ;Female;20 - 24;Never Mar;Rural;Secondary;non manua;No;Middle;Yes;Non;Not at al;Yes;Non;yes;No;Oui;Oui;formal
1455;EG;Male;20 - 24;Never Mar;Rural;Secondary;manual t;No;No educati;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
228;LB;Female;25+;Never Mar;Urban;Higher;non manua;No;Secondary;No;Non;Not at al;Yes;Non;yes;yes;Non;Non;formal
2731;EG;Male;25+;Never Mar;Rural;Middle;manual t;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;informal
136;EG;Female;20 - 24;Ever Marr;Rural;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;formal
316;LB;Male;25+;Never Mar;Urban;Secondary;manual t;Yes;Secondary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
645;LB;Female;25+;Ever Marr;Rural;Secondary;non manua;No;Secondary;No;Oui;Not at al;Yes;Non;No;yes;Oui;Oui;formal
1655;EG;Male;20 - 24;Never Mar;Rural;Secondary;manual t;No;Secondary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
2606;TN;Male;25+;Ever Marr;Rural;Primary;manual t;No;No educati;No;Non;Not at al;No;Non;No;No;Non;Non;informal
307;DZ;Male;25+;Never Mar;Urban;Secondary;non manua;No;Secondary;Yes;Non;Completel;Yes;Non;No;No;Non;Non;formal
1066;LB;Male;25+;Never Mar;Rural;Higher;non manua;Yes;Higher;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1450;EG;Female;<= 19;Never Mar;Rural;Secondary;non manua;No;Middle;No;Oui;Not at al;No;Non;No;No;Non;Non;informal
405;LB;Male;25+;Never Mar;Urban;Middle;manual t;No;Middle;No;Non;Not at al;Yes;Non;yes;No;Non;Non;formal
2587;TN;Female;20 - 24;Never Mar;Urban;Secondary;non manua;No;Primary;Yes;Oui;Not at al;Yes;Non;yes;No;Oui;Oui;informal
984;EG;Male;<= 19;Never Mar;Rural;Higher;non manua;No;Primary;No;Oui;Completel;No;Non;yes;yes;Oui;Oui;informal
1780;TN;Male;25+;Ever Marr;Urban;Middle;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
2504;EG;Male;<= 19;Never Mar;Rural;Primary;manual t;No;No educati;No;Non;Not at al;No;Non;No;No;Non;Non;informal
319;LB;Male;25+;Never Mar;Urban;Middle;non manua;No;Middle;No;Non;Not at al;Yes;Non;No;No;Non;Non;formal
931;LB;Female;25+;Ever Marr;Urban;Higher;non manua;No;Middle;Yes;Oui;Not at al;No;Non;yes;yes;Non;Non;formal
2237;EG;Female;<= 19;Never Mar;Rural;Middle;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;No;yes;Oui;Oui;informal
1665;EG;Male;20 - 24;Ever Marr;Rural;Primary;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
476;LB;Male;20 - 24;Never Mar;Urban;Higher;non manua;No;Primary;Yes;Non;Not at al;Yes;Non;No;yes;Oui;Non;formal
2104;LB;Male;25+;Never Mar;Rural;Secondary;non manua;No;Middle;No;Non;Not at al;Yes;Non;No;No;Non;Non;informal
1541;EG;Male;20 - 24;Never Mar;Rural;Middle;non manua;No;No educati;No;Non;Not at al;No;Non;No;No;Non;Non;informal
1836;LB;Male;<= 19;Never Mar;Urban;Higher;non manua;Yes;Secondary;No;Non;Not at al;Yes;Non;No;yes;Oui;Non;informal
1365;EG;Male;20 - 24;Never Mar;Rural;Primary;manual t;No;No educati;No;Oui;Completel;Yes;Non;yes;yes;Oui;Oui;informal
74;DZ;Male;20 - 24;Never Mar;Rural;Secondary;non manua;No;Secondary;Yes;Non;Not at al;Yes;Non;yes;No;Non;Non;formal
1909;EG;Female;25+;Ever Marr;Urban;Secondary;non manua;No;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1705;DZ;Male;25+;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;Yes;Non;No;No;Non;Non;informal
946;TN;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Primary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
990;TN;Male;20 - 24;Never Mar;Rural;Middle;manual t;No;Primary;No;Oui;Not at al;No;Non;No;No;Non;Non;informal
258;TN;Male;25+;Never Mar;Rural;Higher;manual t;No;No educati;Yes;Non;Not at al;Yes;Non;yes;yes;Non;Oui;formal
1823;EG;Male;25+;Ever Marr;Rural;Primary;manual t;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
2323;DZ;Male;25+;Never Mar;Urban;Middle;non manua;Yes;Primary;Yes;Non;Completel;No;Non;No;No;Non;Non;informal
2264;LB;Male;20 - 24;Never Mar;Rural;Higher;non manua;No;Middle;Yes;Non;Not at al;No;Non;No;yes;Non;Non;informal
1833;LB;Male;20 - 24;Never Mar;Urban;Higher;non manua;Yes;Higher;Yes;Non;Not at al;Yes;Non;No;yes;Oui;Non;informal
1497;TN;Female;25+;Ever Marr;Urban;Middle;non manua;No;Primary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
2570;TN;Male;<= 19;Never Mar;Urban;Primary;non manua;No;Primary;No;Non;Not at al;No;Non;No;yes;Oui;Non;informal
1681;LB;Male;25+;Ever Marr;Urban;Primary;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;No;Non;Non;informal
1215;DZ;Male;20 - 24;Never Mar;Rural;Middle;manual t;No;Primary;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;informal
422;EG;Female;20 - 24;Never Mar;Urban;Secondary;non manua;No;Middle;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
1769;TN;Female;25+;Never Mar;Urban;Primary;manual t;No;Primary;No;Oui;Not at al;No;Non;No;No;Oui;Oui;informal
1758;EG;Male;25+;Ever Marr;Rural;Primary;manual t;No;No educati;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1410;EG;Male;25+;Never Mar;Rural;Secondary;non manua;No;No educati;No;Oui;Not at al;No;Non;No;No;Oui;Oui;informal
333;DZ;Male;<= 19;Never Mar;Urban;Middle;non manua;No;No educati;Yes;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
673;DZ;Male;25+;Never Mar;Urban;Secondary;non manua;Yes;Higher;Yes;Non;Not at al;Yes;Non;yes;yes;Non;Non;formal
1683;LB;Female;<= 19;Never Mar;Urban;Middle;non manua;No;Primary;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
113;LB;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;Higher;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;formal
1947;DZ;Male;<= 19;Never Mar;Urban;Middle;manual t;Yes;No educati;Yes;Non;Completel;Yes;Non;No;No;Non;Oui;informal
2529;EG;Male;20 - 24;Never Mar;Rural;Higher;non manua;No;No educati;No;Oui;Not at al;No;Non;No;yes;Oui;Non;informal
1408;LB;Male;25+;Never Mar;Urban;Primary;non manua;No;Middle;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;informal
592;TN;Female;20 - 24;Never Mar;Urban;Middle;manual t;No;Primary;No;Non;Not at al;No;Non;yes;yes;Non;Non;formal
1406;TN;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;Secondary;Yes;Oui;Not at al;No;Non;No;yes;Non;Non;informal
2377;EG;Male;25+;Ever Marr;Rural;Middle;non manua;No;No educati;No;Oui;Not at al;No;Non;No;No;Non;Non;informal
1376;LB;Male;25+;Never Mar;Urban;Primary;non manua;Yes;Primary;Yes;Non;Not at al;No;Non;yes;yes;Non;Non;informal
719;DZ;Male;25+;Never Mar;Urban;Secondary;non manua;No;Primary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;formal
2607;LB;Female;25+;Never Mar;Urban;Higher;non manua;No;Primary;No;Non;Not at al;No;Non;No;No;Non;Non;informal
210;DZ;Female;25+;Never Mar;Rural;Higher;non manua;No;No educati;Yes;Non;Completel;Yes;Non;No;yes;Non;Non;formal
1585;LB;Female;25+;Ever Marr;Urban;Higher;non manua;No;Higher;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1834;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
2021;LB;Male;20 - 24;Never Mar;Urban;Higher;manual t;Yes;Secondary;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1257;LB;Female;25+;Ever Marr;Urban;Higher;non manua;No;Primary;No;Oui;Not at al;Yes;Non;No;No;Non;Non;informal
2063;DZ;Female;25+;Never Mar;Rural;Middle;non manua;No;Middle;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
571;LB;Male;25+;Ever Marr;Urban;Middle;non manua;Yes;Primary;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
2854;TN;Male;25+;Never Mar;Urban;Secondary;non manua;No;Primary;Yes;Oui;Not at al;No;Non;No;No;Oui;Non;informal
2320;EG;Male;25+;Ever Marr;Urban;Higher;non manua;No;Higher;Yes;Non;Not at al;No;Non;No;yes;Oui;Oui;informal
1592;EG;Male;25+;Never Mar;Urban;Primary;non manua;No;No educati;Yes;Oui;Not at al;No;Non;No;yes;Oui;Non;informal
1160;DZ;Male;25+;Ever Marr;Urban;Middle;non manua;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
682;DZ;Male;25+;Never Mar;Urban;Middle;non manua;No;No educati;Yes;Non;Completel;No;Non;No;No;Non;Non;formal
2097;DZ;Male;20 - 24;Never Mar;Urban;Secondary;non manua;No;Middle;Yes;Oui;Not at al;Yes;Non;yes;yes;Non;Non;informal
171;TN;Female;20 - 24;Never Mar;Urban;Middle;non manua;No;Primary;No;Non;Not at al;Yes;Non;No;No;Non;Non;formal
2737;TN;Female;25+;Never Mar;Rural;Middle;manual t;No;Middle;No;Non;Not at al;No;Non;yes;No;Oui;Oui;informal
937;DZ;Female;25+;Never Mar;Rural;Higher;non manua;No;No educati;No;Oui;Not at al;Yes;Non;No;yes;Non;Non;formal
2364;DZ;Male;25+;Never Mar;Urban;Middle;non manua;Yes;Secondary;Yes;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
2662;EG;Male;<= 19;Never Mar;Urban;Secondary;manual t;No;Secondary;Yes;Non;Not at al;No;Non;No;yes;Non;Non;informal
2706;DZ;Male;<= 19;Never Mar;Urban;Middle;manual t;Yes;Primary;Yes;Non;Completel;No;Non;No;No;Non;Non;informal
29;TN;Female;25+;Ever Marr;Urban;Middle;non manua;No;No educati;No;Non;Not at al;No;Non;yes;No;Non;Non;formal
178;LB;Female;25+;Never Mar;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
1602;EG;Female;20 - 24;Ever Marr;Urban;Middle;manual t;No;Secondary;Yes;Non;Not at al;No;Non;No;No;Non;Non;informal
1957;EG;Male;<= 19;Never Mar;Rural;Primary;non manua;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Non;informal
2836;TN;Male;<= 19;Never Mar;Urban;Middle;non manua;No;Primary;No;Non;Not at al;No;Non;No;No;Oui;Oui;informal
2923;TN;Male;25+;Never Mar;Urban;Secondary;non manua;No;Middle;No;Oui;Not at al;No;Non;No;yes;Non;Non;informal
2319;DZ;Male;25+;Ever Marr;Urban;Secondary;manual t;No;Secondary;Yes;Non;Completel;Yes;Non;yes;No;Non;Non;informal
2917;TN;Male;20 - 24;Never Mar;Urban;Secondary;manual t;No;No educati;Yes;Oui;Not at al;No;Non;No;No;Non;Non;informal
726;TN;Male;20 - 24;Never Mar;Rural;Middle;non manua;No;No educati;Yes;Non;Not at al;Yes;Non;No;No;Non;Non;formal
2068;LB;Male;<= 19;Never Mar;Urban;Higher;manual t;Yes;Secondary;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
349;LB;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;Higher;Yes;Non;Not at al;No;Non;yes;yes;Oui;Oui;formal
396;LB;Male;25+;Never Mar;Rural;Secondary;non manua;No;Primary;No;Oui;Not at al;No;Non;yes;yes;Non;Non;formal
613;TN;Male;25+;Never Mar;Urban;Middle;non manua;No;Primary;No;Oui;Not at al;No;Non;No;No;Non;Non;formal
1924;EG;Male;20 - 24;Never Mar;Rural;Secondary;manual t;No;No educati;No;Oui;Not at al;No;Non;yes;yes;Oui;Oui;informal
1283;TN;Male;20 - 24;Never Mar;Urban;Middle;non manua;No;No educati;Yes;Oui;Not at al;No;Non;No;yes;Non;Non;informal
344;LB;Male;25+;Never Mar;Urban;Secondary;non manua;No;Secondary;No;Oui;Not at al;Yes;Non;No;No;Oui;Non;formal
321;LB;Female;25+;Ever Marr;Urban;Higher;non manua;Yes;Secondary;Yes;Non;Not at al;Yes;Non;yes;yes;Non;Non;formal
1271;LB;Female;25+;Never Mar;Urban;Middle;non manua;Yes;Primary;No;Oui;Not at al;Yes;Non;No;yes;Non;Non;informal
713;DZ;Female;25+;Never Mar;Urban;Higher;non manua;No;Secondary;Yes;Oui;Not at al;Yes;Non;No;yes;Oui;Oui;formal
2107;DZ;Male;25+;Never Mar;Rural;Middle;manual t;Yes;No educati;No;Oui;Completel;No;Non;No;yes;Non;Oui;informal
2985;TN;Male;25+;Never Mar;Urban;Middle;manual t;No;Primary;Yes;Non;Not at al;No;Non;No;yes;Oui;Oui;informal
2100;LB;Female;<= 19;Never Mar;Urban;Middle;non manua;No;Middle;No;Non;Not at al;No;Non;yes;yes;Oui;Oui;informal
1092;TN;Male;25+;Never Mar;Urban;Primary;manual t;No;Primary;Yes;Oui;Not at al;Yes;Non;yes;yes;Oui;Oui;informal
827;TN;Male;25+;Never Mar;Urban;Secondary;non manua;No;Secondary;Yes;Non;Not at al;Yes;Non;yes;yes;Oui;Oui;formal
